bindingId,issue,clientName,userName,location,productId,jobName,status,editUrl
6a744ca2931bd699bf03c299,BLANK,PIONEER LABELS,VISHAL,JOGESHWARI,FS | LABEL | 000031,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a744ca2931bd699bf03c299
6a5f39b7f5247e9bb56c9909,BLANK,PIONEER LABELS,VISHAL,JOGESHWARI,FS | LABEL | 000061,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a5f39b7f5247e9bb56c9909
6a744d75931bd699bf03c345,BLANK,PIONEER LABELS,VISHAL,JOGESHWARI,FS | LABEL | 000081,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a744d75931bd699bf03c345
6a3e1ef9ae43a24b7660751a,BLANK,POLAR CONTAINERS PVT LTD,MEET,VASAI,FS | LABEL | 000019,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a3e1ef9ae43a24b7660751a
6a6c70ba377b702b04631124,BLANK,POWER LINK INDIA,JILL BID,NALASOPARA,FS | LABEL | 000027,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a6c70ba377b702b04631124
6a49b7471c525c0410d45af0,BLANK,PRAYAS WRITING INSTRUMENTS,NA,DAMAN,FS | LABEL | 000001,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a49b7471c525c0410d45af0
6a49b7e01c525c0410d45b23,BLANK,PRAYAS WRITING INSTRUMENTS,NA,DAMAN,FS | LABEL | 000014,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a49b7e01c525c0410d45b23
6a5731ad1ff5560ea5e8f95f,BLANK,PRINTS N LABELS (D),YOGESHW,MALAD,FS | LABEL | 000059,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a5731ad1ff5560ea5e8f95f
6a49a77fee893996da9aa1bc,BLANK,PRISM JOHNSON LIMITED,SUMIT DHUMAL,RAIGAD,FS | LABEL | 000040,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a49a77fee893996da9aa1bc
6a7073fe75a27b7997d8a2b7,BLANK,R R TEXTILES,SANJAY,BHIWANDI,FS | LABEL | 000078,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a7073fe75a27b7997d8a2b7
6a70737375a27b7997d8a259,BLANK,R R TEXTILES,SANJAY,BHIWANDI,FS | LABEL | 000033,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a70737375a27b7997d8a259
6a61c697356b74e3b20cc236,BLANK,S K TRADERS,JAGRUTI,LOWER PAREL,FS | LABEL | 000065,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a61c697356b74e3b20cc236
6a75860a4ac3915597b211ca,BLANK,S&S PACKAGING,MANISH RAO,SILVASSA,FS | LABEL | 000084,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a75860a4ac3915597b211ca
6a7584c34ac3915597b21081,BLANK,S&S PACKAGING,MANISH RAO,SILVASSA,FS | LABEL | 000049,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a7584c34ac3915597b21081
6a49acecee893996da9aa38e,BLANK,SAGAR PRODUCTS,SANTOSH,BHIWANDI,FS | LABEL | 000042,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a49acecee893996da9aa38e
6a49ad6cee893996da9aa3b9,BLANK,SAGAR PRODUCTS,SANTOSH,BHIWANDI,FS | LABEL | 000041,PLAIN,ACTIVE,/fairtech/labels-binding/edit/6a49ad6cee893996da9aa3b9
